ngram,frequency
jurnal pendidikan,45
pendidikan sains,23
sains dan,25
dan komputer,23
komputer volume,11
volume 4,12
4 number,11
number 2,12
2 oktober,29
oktober 2024,42
2024 eissn,11
eissn 2809476x,11
2809476x httpsdoiorg1047709jpskv4i025055,11
httpsdoiorg1047709jpskv4i025055 jurnal,11
komputer is,12
is licensed,24
licensed under,34
under a,34
a creative,35
creative commons,36
commons attributionnoncommercial,11
attributionnoncommercial 40,11
40 international,35
international cc,12
cc bync,12
bync 40,12
40 131,1
131 analisis,1
analisis kritis,1
kritis dan,8
dan pengembangan,37
pengembangan algoritma,2
algoritma knearest,2
knearest neighbor,11
neighbor knn,12
knn sebuah,1
sebuah tinjauan,2
tinjauan literatur,1
literatur raja,1
raja sakti,2
sakti arief,2
arief daulay1,1
daulay1 1stkip,1
1stkip pangeran,1
pangeran antasari,1
antasari indonesia,1
indonesia 1rajasaktidaulaygmailcom,1
1rajasaktidaulaygmailcom raja,1
arief daulay,1
daulay abstrak,1
abstrak knearest,1
knearest neigbors,1
neigbors knn,1
knn adalah,6
adalah sebuah,14
sebuah algoritma,3
algoritma klasifikasi,8
klasifikasi popular,1
popular yang,1
yang sering,21
sering digunakan,7
digunakan dalam,37
dalam machine,1
machine learning,92
learning knn,2
knn mengklasifikasikan,1
mengklasifikasikan objek,1
objek berdasarkan,1
berdasarkan data,19
data pembelajaran,2
pembelajaran yang,6
yang memiliki,61
memiliki jarak,1
jarak terdekat,1
terdekat dengan,1
dengan objek,3
objek tertentu,1
tertentu algoritma,1
algoritma nearest,1
nearest neighbor,19
neighbor hanya,1
hanya mempertimbangkan,1
mempertimbangkan satu,1
satu data,1
pembelajaran terdekat,1
terdekat sebagai,1
sebagai basis,1
basis klasifikasi,1
klasifikasi walaupun,1
walaupun knn,1
knn sederhana,1
sederhana tapi,1
tapi kekuatan,1
kekuatan algoritma,1
algoritma ini,12
ini terletak,1
terletak pada,3
pada kemampuannya,1
kemampuannya menghasilkan,1
menghasilkan prediksi,1
prediksi yang,6
yang cukup,26
cukup akurat,1
akurat dalam,1
