Trigram,Frekuensi
jurnal pendidikan sains,23
pendidikan sains dan,23
sains dan komputer,23
dan komputer volume,11
komputer volume 4,11
volume 4 number,11
4 number 2,11
number 2 oktober,11
2 oktober 2024,27
oktober 2024 eissn,11
2024 eissn 2809476x,11
eissn 2809476x httpsdoiorg1047709jpskv4i025055,11
2809476x httpsdoiorg1047709jpskv4i025055 jurnal,11
httpsdoiorg1047709jpskv4i025055 jurnal pendidikan,11
dan komputer is,12
komputer is licensed,12
is licensed under,24
licensed under a,33
under a creative,34
a creative commons,34
creative commons attributionnoncommercial,11
commons attributionnoncommercial 40,11
attributionnoncommercial 40 international,11
40 international cc,12
international cc bync,12
cc bync 40,12
bync 40 131,1
40 131 analisis,1
131 analisis kritis,1
analisis kritis dan,1
kritis dan pengembangan,1
dan pengembangan algoritma,1
pengembangan algoritma knearest,1
algoritma knearest neighbor,1
knearest neighbor knn,8
neighbor knn sebuah,1
knn sebuah tinjauan,1
sebuah tinjauan literatur,1
tinjauan literatur raja,1
literatur raja sakti,1
raja sakti arief,2
sakti arief daulay1,1
arief daulay1 1stkip,1
daulay1 1stkip pangeran,1
1stkip pangeran antasari,1
pangeran antasari indonesia,1
antasari indonesia 1rajasaktidaulaygmailcom,1
indonesia 1rajasaktidaulaygmailcom raja,1
1rajasaktidaulaygmailcom raja sakti,1
sakti arief daulay,1
arief daulay abstrak,1
daulay abstrak knearest,1
abstrak knearest neigbors,1
knearest neigbors knn,1
neigbors knn adalah,1
knn adalah sebuah,1
adalah sebuah algoritma,2
sebuah algoritma klasifikasi,1
algoritma klasifikasi popular,1
klasifikasi popular yang,1
popular yang sering,1
yang sering digunakan,5
sering digunakan dalam,1
digunakan dalam machine,1
dalam machine learning,1
machine learning knn,2
learning knn mengklasifikasikan,1
knn mengklasifikasikan objek,1
mengklasifikasikan objek berdasarkan,1
objek berdasarkan data,1
berdasarkan data pembelajaran,1
data pembelajaran yang,1
pembelajaran yang memiliki,1
yang memiliki jarak,1
memiliki jarak terdekat,1
jarak terdekat dengan,1
terdekat dengan objek,1
dengan objek tertentu,1
objek tertentu algoritma,1
tertentu algoritma nearest,1
algoritma nearest neighbor,1
nearest neighbor hanya,1
neighbor hanya mempertimbangkan,1
hanya mempertimbangkan satu,1
mempertimbangkan satu data,1
satu data pembelajaran,1
data pembelajaran terdekat,1
pembelajaran terdekat sebagai,1
terdekat sebagai basis,1
sebagai basis klasifikasi,1
basis klasifikasi walaupun,1
klasifikasi walaupun knn,1
walaupun knn sederhana,1
knn sederhana tapi,1
sederhana tapi kekuatan,1
tapi kekuatan algoritma,1
kekuatan algoritma ini,1
algoritma ini terletak,1
ini terletak pada,1
terletak pada kemampuannya,1
pada kemampuannya menghasilkan,1
kemampuannya menghasilkan prediksi,1
menghasilkan prediksi yang,1
prediksi yang cukup,1
yang cukup akurat,1
cukup akurat dalam,1
akurat dalam berbagai,1
dalam berbagai kasus,1
berbagai kasus aplikasi,1
kasus aplikasi namun,1
aplikasi namun kelemahan,1
namun kelemahan utama,1
kelemahan utama algoritma,1
utama algoritma ini,1
algoritma ini adalah,1
ini adalah sensitifitasnya,1
adalah sensitifitasnya terhadap,1
sensitifitasnya terhadap parameter,1
terhadap parameter seperti,1
parameter seperti jumlah,1
seperti jumlah tetangga,1
jumlah tetangga k,1
tetangga k dan,1
k dan metrik,1
dan metrik jarak,1
metrik jarak yang,5
jarak yang digunakan,1
yang digunakan seiring,1
digunakan seiring waktu,1
seiring waktu banyak,1
waktu banyak peneliti,1
banyak peneliti telah,1
peneliti telah melakukan,1
telah melakukan berbagai,1
melakukan berbagai pengembangan,1
berbagai pengembangan dan,1
pengembangan dan improvisasi,1
dan improvisasi terhadap,1
improvisasi terhadap knn,1
terhadap knn untuk,1
knn untuk meningkatkan,1
untuk meningkatkan akurasi,1
meningkatkan akurasi hasil,1
akurasi hasil klasifikasinya,1
hasil klasifikasinya berbagai,1
klasifikasinya berbagai pendekatan,1
berbagai pendekatan telah,1
pendekatan telah diterapkan,1
telah diterapkan seperti,1
diterapkan seperti optimasi,1
seperti optimasi pemilihan,1
optimasi pemilihan parameter,1
pemilihan parameter pengembangan,1
parameter pengembangan metode,1
pengembangan metode pengukuran,1
metode pengukuran jarak,1
pengukuran jarak hingga,1
jarak hingga penerapan,1
hingga penerapan algoritma,1
penerapan algoritma hibrida,1
algoritma hibrida dengan,1
hibrida dengan teknik,1
dengan teknik machine,2
teknik machine learning,2
machine learning lainnya,2
learning lainnya improvisasi,1
lainnya improvisasi yang,1
improvisasi yang dikembangkan,1
yang dikembangkan mencakup,1
dikembangkan mencakup penyesuaian,1
mencakup penyesuaian adaptif,1
penyesuaian adaptif pada,1
adaptif pada nilai,1
pada nilai k,1
nilai k penggunaan,1
k penggunaan metrik,1
penggunaan metrik jarak,2
jarak yang lebih,1
yang lebih kompleks,1
lebih kompleks serta,1
kompleks serta integrasi,1
serta integrasi metode,1
integrasi metode optimisasi,1
metode optimisasi seperti,1
optimisasi seperti pembobotan,1
seperti pembobotan jarak,1
pembobotan jarak dan,1
jarak dan teknik,1
dan teknik ensamble,1
teknik ensamble penelitianpenelitian,1
ensamble penelitianpenelitian tersebut,1
penelitianpenelitian tersebut menunjukkan,1
tersebut menunjukkan hasil,1
menunjukkan hasil yang,3
hasil yang signifikan,1
yang signifikan dalam,5
signifikan dalam meningkatkan,1
dalam meningkatkan performa,1
meningkatkan performa knn,1
performa knn baik,1
knn baik dalam,1
baik dalam hal,2
dalam hal efisiensi,2
hal efisiensi maupun,1
efisiensi maupun akurasi,1
maupun akurasi paper,1
akurasi paper ini,1
paper ini bertujuan,1
ini bertujuan untuk,21
bertujuan untuk mengkaji,2
untuk mengkaji berbagai,1
mengkaji berbagai jenis,1
berbagai jenis pengembangan,1
jenis pengembangan yang,1
pengembangan yang telah,1
yang telah dilakukan,14
telah dilakukan pada,3
dilakukan pada algoritma,1
pada algoritma knn,4
algoritma knn menganalisis,1
knn menganalisis keunggulan,1
menganalisis keunggulan dan,1
keunggulan dan kelemahannya,1
dan kelemahannya serta,1
kelemahannya serta mengidentifikasi,1
serta mengidentifikasi factorfaktor,1
mengidentifikasi factorfaktor yang,1
factorfaktor yang mempengaruhi,1
yang mempengaruhi kinerja,1
mempengaruhi kinerja algoritma,1
kinerja algoritma ini,1
algoritma ini dengan,1
ini dengan memahami,1
dengan memahami berbagai,1
memahami berbagai inovasi,1
berbagai inovasi yang,1
inovasi yang telah,1
telah dilakukan diharapkan,1
dilakukan diharapkan dapat,1
diharapkan dapat memberikan,2
dapat memberikan wawasan,2
memberikan wawasan mendalam,1
wawasan mendalam terkait,1
mendalam terkait potensi,1
terkait potensi peningkatan,1
potensi peningkatan lebih,1
peningkatan lebih lanjut,1
lebih lanjut pada,1
lanjut pada algoritma,1
algoritma knn selain,1
knn selain itu,2
selain itu penelitian,4
itu penelitian ini,6
penelitian ini juga,4
ini juga membahan,1
juga membahan penerapan,1
membahan penerapan knn,1
penerapan knn dalam,1
knn dalam berbagai,1
dalam berbagai domain,1
berbagai domain seperti,1
domain seperti pengenalan,1
seperti pengenalan pola,2
pengenalan pola prediksi,1
pola prediksi dan,1
prediksi dan pengolahan,1
dan pengolahan data,1
pengolahan data skala,1
data skala besar,2
skala besar hasil,1
besar hasil kajian,1
hasil kajian ini,1
kajian ini diharapkan,1
ini diharapkan dapat,4
diharapkan dapat menjadi,1
dapat menjadi acuan,1
menjadi acuan bagi,1
acuan bagi pengembang,1
bagi pengembang algoritma,1
pengembang algoritma untuk,1
algoritma untuk memanfaatkan,1
untuk memanfaatkan keunggulan,1
memanfaatkan keunggulan knn,1
keunggulan knn secara,1
knn secara lebih,1
secara lebih optimal,1
lebih optimal serta,1
optimal serta membuka,1
serta membuka peluang,1
membuka peluang penelitian,1
peluang penelitian baru,1
penelitian baru dalam,1
baru dalam bidang,2
dalam bidang klasifikasi,1
bidang klasifikasi berbasis,1
klasifikasi berbasis jarak,1
berbasis jarak histori,1
jarak histori artikel,1
histori artikel submit,1
artikel submit 20241205,1
submit 20241205 diterima,1
20241205 diterima 20241213,1
diterima 20241213 dipublikasikan,1
20241213 dipublikasikan 20241213,1
dipublikasikan 20241213 kata,1
20241213 kata kunci,1
kata kunci knearest,1
kunci knearest neighbors,1
knearest neighbors machine,1
neighbors machine learning,1
machine learning peningkatan,1
learning peningkatan algoritma,1
peningkatan algoritma metode,1
algoritma metode klasifikasi,1
metode klasifikasi data,3
klasifikasi data mining,3
data mining minimal,1
mining minimal 5,1
minimal 5 kata,1
5 kata jurnal,1
kata jurnal pendidikan,1
creative commons attribution,14
commons attribution noncommercial,2
attribution noncommercial 40,2
noncommercial 40 international,2
bync 40 latar,1
40 latar belakang,1
latar belakang algoritma,1
belakang algoritma knn,1
algoritma knn sudah,1
knn sudah banyak,1
sudah banyak dipakai,1
banyak dipakai untuk,1
dipakai untuk penelitian,1
untuk penelitian yang,1
penelitian yang berhubungan,2
yang berhubungan dengan,12
berhubungan dengan machine,1
dengan machine learning,2
machine learning berbagai,1
learning berbagai macam,1
berbagai macam peran,1
macam peran digunakan,1
peran digunakan untuk,1
digunakan untuk metode,1
untuk metode pengklasifikasian,1
metode pengklasifikasian yang,1
pengklasifikasian yang dilakukan,1
yang dilakukan oleh,50
dilakukan oleh knn,1
oleh knn oleh,1
knn oleh karena,1
oleh karena itu,54
karena itu banyak,1
itu banyak juga,1
banyak juga penelitian,1
juga penelitian yang,3
penelitian yang sudah,4
yang sudah memodifikasi,1
sudah memodifikasi atau,1
memodifikasi atau meningkatkan,1
atau meningkatkan kinerja,1
meningkatkan kinerja dari,2
kinerja dari knn,2
dari knn tersebut,1
knn tersebut dimulai,1
tersebut dimulai dengan,1
dimulai dengan meningkatkan,1
dengan meningkatkan akurasi,1
meningkatkan akurasi pada,1
akurasi pada pengklasifikasian,1
pada pengklasifikasian menggabungkan,1
pengklasifikasian menggabungkan knn,1
menggabungkan knn dengan,2
knn dengan algoritma,1
dengan algoritma klasifikasi,1
algoritma klasifikasi merupakan,1
klasifikasi merupakan masalah,1
merupakan masalah yang,4
masalah yang penting,1
yang penting dalam,3
penting dalam mengolah,1
dalam mengolah big,1
mengolah big data,1
big data data,1
data data science,1
data science dan,1
science dan machine,1
dan machine learning,1
learning knn adalah,1
knn adalah salah,2
adalah salah satu,13
