Unigram,Frekuensi
jurnal,440
pendidikan,182
sains,39
dan,4160
komputer,110
volume,87
4,306
number,39
2,497
oktober,62
2024,128
eissn,50
2809476x,11
httpsdoiorg1047709jpskv4i025055,11
is,154
licensed,34
under,41
a,489
creative,37
commons,41
attributionnoncommercial,11
40,89
international,80
cc,18
bync,12
131,3
analisis,193
kritis,36
pengembangan,136
algoritma,233
knearest,17
neighbor,39
knn,164
sebuah,109
tinjauan,14
literatur,38
raja,6
sakti,4
arief,10
daulay1,1
1stkip,1
pangeran,1
antasari,1
indonesia,431
1rajasaktidaulaygmailcom,1
daulay,6
abstrak,36
neigbors,1
adalah,594
klasifikasi,124
popular,1
yang,4521
sering,85
digunakan,263
dalam,1593
machine,111
learning,148
mengklasifikasikan,13
objek,34
berdasarkan,198
data,883
pembelajaran,93
memiliki,329
jarak,42
terdekat,12
dengan,1869
tertentu,89
nearest,23
hanya,143
mempertimbangkan,14
satu,254
sebagai,610
basis,33
walaupun,11
sederhana,34
tapi,4
kekuatan,44
ini,1209
terletak,17
pada,1405
kemampuannya,6
menghasilkan,87
prediksi,40
cukup,52
akurat,27
berbagai,199
kasus,214
aplikasi,70
namun,109
kelemahan,16
utama,74
sensitifitasnya,1
terhadap,454
parameter,33
seperti,353
jumlah,126
tetangga,4
k,100
metrik,11
seiring,20
waktu,83
banyak,195
peneliti,96
telah,244
melakukan,308
improvisasi,2
untuk,1606
meningkatkan,153
akurasi,111
hasil,444
klasifikasinya,2
pendekatan,64
diterapkan,34
optimasi,5
pemilihan,36
metode,276
pengukuran,22
hingga,68
penerapan,71
hibrida,1
teknik,112
lainnya,97
dikembangkan,41
mencakup,30
penyesuaian,6
adaptif,3
nilai,248
penggunaan,164
lebih,410
kompleks,10
serta,221
integrasi,6
optimisasi,1
pembobotan,1
ensamble,1
penelitianpenelitian,2
tersebut,358
menunjukkan,175
signifikan,81
performa,18
baik,328
hal,335
efisiensi,15
maupun,116
paper,5
bertujuan,58
mengkaji,5
jenis,198
dilakukan,381
menganalisis,30
keunggulan,9
kelemahannya,2
mengidentifikasi,38
factorfaktor,1
mempengaruhi,67
kinerja,49
memahami,52
inovasi,29
diharapkan,47
dapat,994
memberikan,209
wawasan,7
mendalam,15
terkait,99
potensi,116
peningkatan,97
lanjut,16
selain,101
itu,330
penelitian,686
juga,411
membahan,1
domain,7
pengenalan,14
pola,80
pengolahan,28
skala,11
besar,159
kajian,38
menjadi,432
acuan,9
bagi,261
pengembang,4
memanfaatkan,50
secara,467
optimal,25
membuka,11
peluang,31
baru,117
bidang,101
berbasis,111
histori,2
artikel,53
submit,1
20241205,1
diterima,27
20241213,2
dipublikasikan,4
kata,78
kunci,40
neighbors,3
mining,8
minimal,11
5,199
attribution,14
noncommercial,2
latar,19
belakang,26
sudah,143
dipakai,17
berhubungan,29
macam,17
peran,73
pengklasifikasian,3
oleh,532
karena,267
memodifikasi,5
atau,787
dari,1129
dimulai,19
menggabungkan,6
merupakan,347
masalah,189
penting,168
mengolah,4
big,20
science,39
salah,172
tertua,1
paling,45
model,178
regresi,40
diajukan,2
tahun,290
1951,1
evelyn,1
hodges,1
kemudian,137
dimodifikasi,3
cover,2
hart,1
